id,institutionCode,collectionCode,basisOfRecord,occurrenceID,  ,kingdom,phylum,class,order,family,scientificName,scientificNameAuthorship,genus,specificEpithet,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,substrate,country,stateProvince,county,locality,localitySecurity,decimalLatitude,decimalLongitude,verbatimCoordinates,modified,collId,recordId,references,File Name,Notes,Quality,Chemistry,Chemistry Author,Source,Chemistry Methods
,,,,,867615,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia caperata,(L.) Hale,Flavoparmelia,caperata,"Wetmore, C.",82361,6/23/1999,1999,6,23,174,,23-Jun-99,on thuja,United States,Minnesota,Saint Louis,North of Pfeifer Lake; Superior National Forest,0,47.75666667,-92.46555556,"47°45'24""N, 92°27'56""W",6/2/2016 12:52,11,urn:uuid:f81f65f4-5616-440e-8b04-4a7b0adb6b13,http://bellatlas.umn.edu/collections/individual/index.php?occid=737008,867615.1999,,good,,,,
,,,,,867540,,,,,,Umbilicaria muehlenbergii,,,,"Wetmore, C.",82457,,1999,,,,,,,,,,,,,,,,,,,867540.1999,,good,,,,
,,,,,863485,,,,,,Dimelaena oreina,,,,"Wetmore, C.",23394,,1974,,,,,,,,,,,,,,,,,,,863485.1974,,,,,,
,,,,,863336,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia caperata,(L.) Hale,Flavoparmelia,caperata,"Egan, R.",13207,5/19/1986,1986,5,19,139,,19-May-86,,United States,Minnesota,Cook,Between Schroeder And Tofte; Temperance River State Park,0,,,,6/2/2016 12:52,11,urn:uuid:9a797b7b-2761-4cdc-953a-dc7a51828f48,http://bellatlas.umn.edu/collections/individual/index.php?occid=734666,863336.1986,,good,,,,
,,,,,863268,,,,,,Dimelaena oreina,,,,"Saltveit, M.",100,,1970,,,,,,,,,,,,,,,,,,,863268.1970,,,,,,
,,,,,862538,,,,,,Chrysothrix candelaris,,,,"Egan, R.",4097,,1973,,,,,,,,,,,,,,,,,,,862538.1973,,,,,,
,,,,,862472,,,,,,Chrysothrix candelaris,,,,"Egan, R.",9336,,1976,,,,,,,,,,,,,,,,,,,862472.1976,,,,,,
,,,,,858575,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia baltimorensis,(Gyeln. & Fóriss) Hale,Flavoparmelia,baltimorensis,"Wheeler, G.",16088,6/10/1997,1997,6,10,161,,10-Jun-97,,United States,Minnesota,Redwood,6 Mi Nne of Morgan,0,,,,6/2/2016 12:52,11,urn:uuid:b2c407b0-d68e-4393-8bc1-de53a87ff78d,http://bellatlas.umn.edu/collections/individual/index.php?occid=731499,858575.1997,,good,,,,
,,,,,858554,,,,,,Candelaria concolor,,,,"Wheeler, G.",16317,,1997,,,,,,celtis occidentalis,,,,,,,,,,,,,858554.1997,,good,,,,
,,,,,858447,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia baltimorensis,(Gyeln. & Fóriss) Hale,Flavoparmelia,baltimorensis,"Wheeler, G.",17339,8/28/1997,1997,8,28,240,,28-Aug-97,,United States,Minnesota,Nicollet,2.5 Mi Nw of Courtland,0,,,,6/2/2016 12:52,11,urn:uuid:3f221c21-5bce-45d8-8873-f19564f0187b,http://bellatlas.umn.edu/collections/individual/index.php?occid=731371,858447.1997,,good,,,,
,,,,,858435,,,,,,Dimelaena oreina,,,,"Wheeler, G.",17423,,1997,,,,,,,,,,,,,,,,,,,858435.1997,,,,,,
,,,,,858414,,,,,,Caloplaca flavovirescens,,,,"Wheeler, G.",17560,,1997,,,,,,,,,,,,,,,,,,,858414.1997,,,,,,
,,,,,858034,,,,,,Strigula submuriformis,,,,"Wheeler, G.",16344,,1997,,,,,,bark of quercus macrocarpa,,,,,,,,,,,,,,"No record in notes, may be in files",,,,,
771092,MIN,Lichens,PreservedSpecimen,urn:uuid:c5a67394-bf61-4af2-9149-d92faaf9957d,854654,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia haysomii,(C.W. Dodge) Hale,Flavoparmelia,haysomii,"Streimann, H.",54301,9/14/1994,1994,9,14,257,,14-Sep-94,exposed boulder,Australia,Western Australia,,Mt. Chudalup,0,-34.76666667,116.0833333,"34°46' S, 116°05' E",6/2/2016 12:52,11,urn:uuid:15ab32a7-f129-4209-961a-b83827373ec3,http://bellatlas.umn.edu/collections/individual/index.php?occid=730075,854654.1994,,good,,,,
770230,MIN,Lichens,PreservedSpecimen,urn:uuid:2365d212-4a84-429a-9164-aeb38cf668ee,854633,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia haysomii,(C.W. Dodge) Hale,Flavoparmelia,haysomii,"Streimann, H.",55062,9/30/1994,1994,9,30,273,,30-Sep-94,boulder,Australia,South Australia,,"Cape Borda, 18 km Sse of",0,-35.71666667,136.7666667,"35°43' S, 136°46' E",6/2/2016 12:52,11,urn:uuid:88cea78b-fecf-4936-b455-ae7ae03cd5ef,http://bellatlas.umn.edu/collections/individual/index.php?occid=730054,854633.1994,,good,,,,
770221,MIN,Lichens,PreservedSpecimen,urn:uuid:e8ecdfb5-484f-4c25-861b-f74b1647c226,854596,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia haysomii,(C.W. Dodge) Hale,Flavoparmelia,haysomii,"Streimann, H.",55370,10/5/1994,1994,10,5,278,,5-Oct-94,semi-shaded boulder,Australia,Victoria,,"Ararat, 24 km Ene of; Mount Cole State Forest",0,-37.21666667,143.2,"37°13' S, 143°12' E",6/2/2016 12:52,11,urn:uuid:39f57aab-831e-4762-83a8-e4f410c22536,http://bellatlas.umn.edu/collections/individual/index.php?occid=730017,854596.1994,,good,,,,
,,,,,854486,,,,,,Baeomyces rufus,,,,"Wetmore, C.",22793,,1974,,,,,,on roadside bank,,,,,,,,,,,,,854486.1974,,,,,,
,,,,,846958,,,,,,Acarospora americana,,,,"Schuster, J.",2574,,1990,,,,,,,,,,,,,,,,,,,846958.1990,,good,,,,
,,,,,846036,,,,,,Verrucaria fuscella,,,,"Wetmore, C.",76347,,1996,,,,,,,,,,,,,,,,,,,846036.1996,,,,,,
770220,MIN,Lichens,PreservedSpecimen,urn:uuid:0ea43a3f-27ad-48a9-8ebe-c0f9aeed6303,841487,,,,,,Xanthoparmelia darrowii,,Parmelia,darrowii,"Egan, R.",13645,12/31/1988,1988,12,31,366,,31-Dec-88,on oak,United States,Arizona,Santa Cruz,"Santa Rita Mountains, Madera Canyon Trail",0,31.71666667,-110.8666667,"31°43'N, 110°52'W",6/2/2016 12:48,11,urn:uuid:8cbddfd7-3a37-4edd-a559-45e5295ff62f,http://bellatlas.umn.edu/collections/individual/index.php?occid=725057,841487.1988,,good,"usnic, and lecanoric acids",Egan. R,On archive,
770216,MIN,Lichens,PreservedSpecimen,urn:uuid:9704602e-824b-4818-91e6-3a59e098cfff,840990,,,,,,Xanthoparmelia darrowii,,Parmelia,darrowii,"Wetmore, C.",63402,12/31/1988,1988,12,31,366,,31-Dec-88,,United States,Arizona,Santa Cruz,"Santa Rita Mountains, Madera Canyon",0,31.70833333,-110.8688889,"31°42'30""N, 110°52'08""W",6/2/2016 12:48,11,urn:uuid:f0084473-a14a-49e8-a1f8-c52c3afab399,http://bellatlas.umn.edu/collections/individual/index.php?occid=724929,840990.1988,,good,"usnic, and lecanoric acids",Egan. R,On archive,
,,,,,837552,,,,,,Trypethelium virens,,,,"Wetmore, C.",12314,,1963,,,,,,on beech,,,,,,,,,,,,,837552.1963,,,,,,
,,,,,837551,,,,,,Trypethelium virens,,,,"Wetmore, C.",12316,,1963,,,,,,on beech,,,,,,,,,,,,,837551.1963,trial 3 BAD,,,,,
,,,,,837542,,,,,,Trypethelium virens,,,,"Wetmore, C.",18064,,1968,,,,,,on carpinus,,,,,,,,,,,,,837542.1968,,,,,,
,,,,,836415,,,,,,Lecidea tessellata,,,,"Wetmore, C.",75488,,1995,,,,,,on rock,,,,,,,,,,,,,,,,,,,
,,,,,835895,,,,,,Loxospora elatina,,,,"Wetmore, C.",74768,,1994,,,,,,on quaking aspen,,,,,,,,,,,,,835895.1994,,,,,,
,,,,,835369,,,,,,Peltigera elisabethae,,,,"Wetmore, C.",74223,,1994,,,,,,,,,,,,,,,,,,,835369.1994,,,,,,
,,,,,835345,,,,,,Umbilicaria muehlenbergii,,,,"Wetmore, C.",74249,,1994,,,,,,,,,,,,,,,,,,,835345.1994,,good,,,,
,,,,,835292,,,,,,Loxospora elatina,,,,"Wetmore, C.",74303,,1994,,,,,,,,,,,,,,,,,,,835292.1994,,,,,,
,,,,,835136,,,,,,Dimelaena oreina,,,,"Wetmore, C.",74474,,1994,,,,,,,,,,,,,,,,,,,835136.1994,,,,,,
,,,,,835097,,,,,,Strigula submuriformis,,,,"Wetmore, C.",74515,,1994,,,,,,on sugar maple,,,,,,,,,,,,,835097.1994,,,,,,
,,,,,834457,,,,,,Baeomyces rufus,,,,"Wetmore, C.",74196,,1994,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,827668,,,,,,Candelaria concolor,,,,"Shimek, B.",s.n.,,1916,,,,,,on bur oak,,,,,,,,,,,,,827668.1916,,good,,,,
,,,,,827613,,,,,,Candelaria concolor,,,,"Shimek, B.",s.n.,,1902,,,,,,,,,,,,,,,,,,,827613.1902,,good,,,,
,,,,,823916,,,,,,Trypethelium virens,,,,"Wetmore, C.",72984,,1993,,,,,,on beech,,,,,,,,,,,,,823916.1993,,,,,,
,,,,,823280,,,,,,Verrucaria fuscella,,,,"Wetmore, C.",56428,,1986,,,,,,,,,,,,,,,,,,,823280.1986,,,,,,
,,,,,821394,,,,,,Ionaspis lacustris,,,,"Wetmore, C.",70995,,1992,,,,,,,,,,,,,,,,,,,821394.1992,,,,,,
,,,,,815563,,,,,,Candelaria concolor,,,,"Schuster, J.",2640,,1991,,,,,,on deciduous tree,,,,,,,,,,,,,815563.1991,,good,,,,
,,,,,815554,,,,,,Candelaria concolor,,,,"Schuster, J.",2672,,1991,,,,,,on dead branch,,,,,,,,,,,,,815554.1991,,good,,,,
,,,,,814980,,,,,,Candelaria concolor,,,,"Schuster, J.",2454,,1990,,,,,,on elm,,,,,,,,,,,,,814980.1990,,good,,,,
,,,,,814970,,,,,,Dimelaena oreina,,,,"Schuster, J.",2471,,1990,,,,,,,,,,,,,,,,,,,814970.1990,,,,,,
,,,,,814573,,,,,,Verrucaria fuscella,,,,"Wetmore, C.",68347,,1991,,,,,,,,,,,,,,,,,,,814573.1991,,,,,,
,,,,,813488,,,,,,Caloplaca flavovirescens,,,,"Wetmore, C.",67902,,1991,,,,,,,,,,,,,,,,,,,813488.1991,,,,,,
,,,,,813439,,,,,,Pertusaria ophthalmiza,,,,"Wetmore, C.",68065,,1991,,,,,,on white birch,,,,,,,,,,,,,813439.1991,,,,,,
,,,,,813257,,,,,,Ephebe ocellata,,,,"Wetmore, C.",68038,,1991,,,,,,on rock in stream,,,,,,,,,,,,,813257.1991,,good,,,,
770202,MIN,Lichens,PreservedSpecimen,urn:uuid:812c4c8d-ea95-4bdd-ae5b-49c11cb92bdc,812406,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavopunctelia praesignis,(Nyl.) Hale,Flavopunctelia,praesignis,"Nash, T.",27409,10/21/1988,1988,10,21,295,,21-Oct-88,on pinus cembroides,United States,Arizona,Pima,"Baboquivari Peak, Saddle N of",0,,,,6/2/2016 12:52,11,urn:uuid:62b18631-ed0b-4094-a707-20c44ef6f572,http://bellatlas.umn.edu/collections/individual/index.php?occid=713757,812406.1988,,good,"usnic, lecanoric, and 5-chlorolecanoric acids",Egan. R,On archive,
770178,MIN,Lichens,PreservedSpecimen,urn:uuid:c254252b-b239-4b60-9cb7-2d5898edac70,812391,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Neofuscelia verruculifera,(Nyl.) Essl.,Neofuscelia,verruculifera,"Nash, T.",27816,5/25/1989,1989,5,25,145,,25-May-89,on sandstone,Argentina,Salta,,Valle Encantado,0,,,,6/2/2016 12:52,11,urn:uuid:1a587889-3c94-439c-a4c0-13d306ae7828,http://bellatlas.umn.edu/collections/individual/index.php?occid=713742,812391.1989,,good,,,,
,,,,,808249,,,,,,Loxospora elatina,,,,"Wetmore, C.",67358,,1990,,,,,,on basswood,,,,,,,,,,,,,808249.1990,,,,,,
,,,,,808184,,,,,,Strigula submuriformis,,,,"Wetmore, C.",67423,,1990,,,,,,on white oak,,,,,,,,,,,,,808184.1990,,,,,,
,,,,,804114,,,,,,Trypethelium virens,,,,"Wetmore, C.",64288,,1989,,,,,,,,,,,,,,,,,,,804114.1989,,,,,,
,,,,,804112,,,,,,Trypethelium virens,,,,"Wetmore, C.",64292,,1989,,,,,,on oak,,,,,,,,,,,,,804112.1989,,,,,,
,,,,,802685,,,,,,Acarospora americana,,,,"Wetmore, C.",62608,,1988,,,,,,,,,,,,,,,,,,,80268.1988,,good,,,,
,,,,,802661,,,,,,Graphis scripta,,,,"Wetmore, C.",62670,,1988,,,,,,,,,,,,,,,,,,,802661.1988,,,,,,
,,,,,802646,,,,,,Chrysothrix candelaris,,,,"Wetmore, C.",62685,,1988,,,,,,on basswood,,,,,,,,,,,,,802646.1988,,,,,,
,,,,,802632,,,,,,Graphis scripta,,,,"Wetmore, C.",62699,,1988,,,,,,on carpinus,,,,,,,,,,,,,802632.1988,,,,,,
,,,,,802466,,,,,,Peltigera elisabethae,,,,"Wetmore, C.",63154,,1988,,,,,,,,,,,,,,,,,,,802466.1988,,,,,,
,,,,,802227,,,,,,Strigula submuriformis,,,,"Wetmore, C.",63027,,1988,,,,,,on bur oak,,,,,,,,,,,,,802227.1988,,,,,,
,,,,,793455,,,,,,Strigula submuriformis,,,,"Wetmore, C.",25883,,1976,,,,,,on sugar maple,,,,,,,,,,,,,793455.1976,,,,,,
,,,,,793323,,,,,,Chrysothrix candelaris,,,,"Wetmore, C.",41664,,1980,,,,,,on black spruce,,,,,,,,,,,,,793323.1980,,,,,,
,,,,,786519,,,,,,Rhizocarpon grande,,,,"Trana, T.",14032,,1986,,,,,,,,,,,,,,,,,,,786519.1986,,,,,,
,,,,,786482,,,,,,Loxospora elatina,,,,"Trana, T.",14092,,1986,,,,,,on dead balsam fir,,,,,,,,,,,,,786482.1986,,,,,,
,,,,,786476,,,,,,Caloplaca flavovirescens,,,,"Trana, T.",14100,,1986,,,,,,,,,,,,,,,,,,,786476.1986,,,,,,
,,,,,786394,,,,,,Pertusaria ophthalmiza,,,,"Trana, T.",14247,,1986,,,,,,on white birch,,,,,,,,,,,,,786394.1986,,,,,,
,,,,,786157,,,,,,Loxospora elatina,,,,"Trana, T.",14624,,1986,,,,,,on white birch,,,,,,,,,,,,,,,,,,,
,,,,,786020,,,,,,Pertusaria ophthalmiza,,,,"Trana, T.",14838,,1986,,,,,,on dead white birch,,,,,,,,,,,,,786020.1986,,,,,,
,,,,,785671,,,,,,Dimelaena oreina,,,,"Wetmore, C.",57536,,1986,,,,,,,,,,,,,,,,,,,785671.1986,,,,,,
,,,,,785664,,,,,,Rhizocarpon grande,,,,"Wetmore, C.",57562,,1986,,,,,,,,,,,,,,,,,,,785664.1986,,,,,,
,,,,,785627,,,,,,Dimelaena oreina,,,,"Wetmore, C.",57655,,1986,,,,,,,,,,,,,,,,,,,785627.1986,,,,,,
,,,,,785333,,,,,,Peltigera elisabethae,,,,"Wetmore, C.",57111,,1986,,,,,,,,,,,,,,,,,,,785333.1986,,good,,,,
,,,,,785317,,,,,,Peltigera elisabethae,,,,"Wetmore, C.",57142,,1986,,,,,,,,,,,,,,,,,,,785317.1986,,good,,,,
,,,,,785210,,,,,,Baeomyces rufus,,,,"Wetmore, C.",57293,,1986,,,,,,,,,,,,,,,,,,,785210.1986,,,,,,
,,,,,785024,,,,,,Umbilicaria muehlenbergii,,,,"Wetmore, C.",57561,,1986,,,,,,,,,,,,,,,,,,,785024.1986,,good,,,,
763872,MIN,Lichens,PreservedSpecimen,urn:uuid:37608a7f-26bb-4a79-8f7e-fbaa5ff17310,783588,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavopunctelia praesignis,(Nyl.) Hale,Flavopunctelia,praesignis,"Wetmore, C.",54758,6/17/1986,1986,6,17,168,,17-Jun-86,on ponderosa pine,United States,Arizona,Pima,"Rincon Section, Devil'S Bathtub Spring; Saguaro National Monument",0,32.19694444,-110.5458333,"32°11'49""N, 110°32'45""W",6/2/2016 12:52,11,urn:uuid:381dced7-a23e-4881-ab87-81ba04f44e54,http://bellatlas.umn.edu/collections/individual/index.php?occid=696075,783588.1986,,good,"usnic, and lecanoric acids",Egan. R,On archive,
763570,MIN,Lichens,PreservedSpecimen,urn:uuid:03eec08f-293f-418d-97e0-fbbd63732c99,783551,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavopunctelia praesignis,(Nyl.) Hale,Flavopunctelia,praesignis,"Wetmore, C.",54799,6/18/1986,1986,6,18,169,,18-Jun-86,on oak,United States,Arizona,Pima,"Rincon Section, W of Mica Meadow; Saguaro National Monument",0,32.21083333,-110.5458333,"32°12'39""N, 110°32'45""W",6/2/2016 12:52,11,urn:uuid:deb63e55-2995-49e4-9c29-5f3d388c0062,http://bellatlas.umn.edu/collections/individual/index.php?occid=696038,783551.1986,,good,"usnic, and lecanoric acids ",Egan. R,On archive,
763512,MIN,Lichens,PreservedSpecimen,urn:uuid:d9dc9e56-786e-4952-b9fa-956bc31f3201,782848,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavopunctelia praesignis,(Nyl.) Hale,Flavopunctelia,praesignis,"Wetmore, C.",55613,7/6/1986,1986,7,6,187,,6-Jul-86,on silver leaf oak,United States,Arizona,Cochise,Upper Bonita Canyon; Chiricahua National Monument,0,32.0275,-109.3202778,"32°01'39""N, 109°19'13""W",6/2/2016 12:52,11,urn:uuid:fffff26f-00ad-495e-b6cd-a2b31207c345,http://bellatlas.umn.edu/collections/individual/index.php?occid=695335,782848.1986,,good,"usnic, and lecanoric acids ",Egan. R,On archive,
743030,MIN,Lichens,PreservedSpecimen,urn:uuid:53f68b3a-9410-4a73-98af-0a63be17ac02,782790,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavopunctelia praesignis,(Nyl.) Hale,Flavopunctelia,praesignis,"Wetmore, C.",55679,7/6/1986,1986,7,6,187,,6-Jul-86,on silver leaf oak,United States,Arizona,Cochise,Across Canyon From Campground; Chiricahua National Monument,0,32.01361111,-109.3483333,"32°00'49""N, 109°20'54""W",6/2/2016 12:52,11,urn:uuid:b8c5f3e5-616a-4f48-95b6-2deb47c9a731,http://bellatlas.umn.edu/collections/individual/index.php?occid=695277,782790.1986,,good,"usnic, lecanoric, and 5-chlorocanoric acids",Egan. R,On archive,
,,,,,779989,,,,,,Chrysothrix candelaris,,,,"Wetmore, C.",17646,,1967,,,,,,on base of pine,,,,,,,,,,,,,779989.1967,,,,,,
,,,,,779893,,,,,,Trypethelium virens,,,,"Wetmore, C.",29895,,1977,,,,,,on beech,,,,,,,,,,,,,779893.1977,,,,,,
,,,,,777244,,,,,,Trypethelium virens,,,,"Wetmore, C.",46138,,1983,,,,,,on beech,,,,,,,,,,,,,777244.1983,,,,,,
,,,,,777088,,,,,,Trypethelium virens,,,,"Sullivan, T.",3923,,1984,,,,,,on beech,,,,,,,,,,,,,777088.1984,,,,,,
742842,MIN,Lichens,PreservedSpecimen,urn:uuid:09cbf22b-8716-4e6b-a7a6-2bfb0db14510,772366,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia haysomii,(C.W. Dodge) Hale,Flavoparmelia,haysomii,"Whinray, J.",680,10/10/1975,1975,10,10,283,,10-Oct-75,on quartzite outcrop,Australia,Tasmania,,Badger Island,0,,,,6/2/2016 12:52,11,urn:uuid:3b37ba12-cec6-4d2f-b418-e0b8685a2e6c,http://bellatlas.umn.edu/collections/individual/index.php?occid=691963,772366.1975,,BAD,,,,
742813,MIN,Lichens,PreservedSpecimen,urn:uuid:f0c7900b-912a-4250-b55a-07dcf49448e5,772360,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia caperata,(L.) Hale,Flavoparmelia,caperata,"Filson, R.",40217,11/2/1971,1971,11,2,306,,2-Nov-71,on melalevca armillaris,Australia,Tasmania,,Curtis Island,0,,,,6/2/2016 12:52,11,urn:uuid:30bd039b-844c-4243-be54-44a7ac134cdc,http://bellatlas.umn.edu/collections/individual/index.php?occid=691957,772360.1971,,good,"caperatic acid, protocetraric acid in G.B., protocetraric acid in G.A.o-t, yellow pigment in lower medulla K+ purple",Filson. R,On archive,
,,,,,772093,,,,,,Chrysothrix candelaris,,,,"Wetmore, C.",48371,,1983,,,,,,on balsam fir log,,,,,,,,,,,,,772093.1983,,,,,,
,,,,,761846,,,,,,Candelaria concolor,,,,"Schuster, J.",492,,1983,,,,,,on dead quaking aspen,,,,,,,,,,,,,761846.1983,,good,,,,
,,,,,761591,,,,,,Candelaria concolor,,,,"Schuster, J.",825,,1983,,,,,,on trunk of quaking aspen,,,,,,,,,,,,,761591.1983,,good,,,,
740949,MIN,Lichens,PreservedSpecimen,urn:uuid:edf6922a-8464-400a-9984-33c14de98954,761459,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia caperata,(L.) Hale,Flavoparmelia,caperata,"Schuster, J.",965,7/7/1983,1983,7,7,188,,7-Jul-83,on paper birch,United States,Minnesota,Pine,"Pickerel Lake Campground, Nw of; Nemadji State Forest",0,,,,6/2/2016 12:52,11,urn:uuid:18e070b1-5c9e-434b-9b62-c3b881e4a1f8,http://bellatlas.umn.edu/collections/individual/index.php?occid=686637,761459.1983,,good,,,,
740898,MIN,Lichens,PreservedSpecimen,urn:uuid:a8b24c82-e75d-4957-8f78-3e711025642b,760177,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia euplecta,(Stirt.) Hale,Flavoparmelia,euplecta,"Nash, T.",20348,8/12/1981,1981,8,12,224,,12-Aug-81,on acidic rock,Australia,South Australia,,"Springton, 9 km E of",0,,,,6/2/2016 12:52,11,urn:uuid:8f5c529c-c796-4844-8e87-5d810b50e335,http://bellatlas.umn.edu/collections/individual/index.php?occid=685722,760177.1981,,good,,,,
731499,MIN,Lichens,PreservedSpecimen,urn:uuid:b2c407b0-d68e-4393-8bc1-de53a87ff78d,760175,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia haysomii,(C.W. Dodge) Hale,Flavoparmelia,haysomii,"Nash, T.",19854,8/12/1981,1981,8,12,224,,12-Aug-81,on sandstone,Australia,South Australia,,"Springton, 7 km W of",0,,,,6/2/2016 12:52,11,urn:uuid:d9ba1c2d-82ea-43d6-8122-f72b80d8832f,http://bellatlas.umn.edu/collections/individual/index.php?occid=685720,760175.1981,,good,,,,
,,,,,757307,,,,,,Trypethelium virens,,,,"Johnson, G.",1013,,1953,,,,,,,,,,,,,,,,,,,757307.1953,"High reflectance, different, maybe substrate ",,,,,
,,,,,757306,,,,,,Trypethelium virens,,,,"Johnson, G.",1175,,1953,,,,,,on holly,,,,,,,,,,,,,757306.1953,,,,,,
,,,,,757285,,,,,,Trypethelium virens,,,,"Johnson, G.",6260,,1965,,,,,,,,,,,,,,,,,,,757285.1965,,,,,,
,,,,,757172,,,,,,Trypethelium virens,,,,"Johnson, G.",6997,,1978,,,,,,,,,,,,,,,,,,,757172.1978,Possible low thallus reflectance due to substrate,,,,,
,,,,,744089,,,,,,Chrysothrix candelaris,,,,"Sipe, F.",s.n.,,1938,,,,,,on trees,,,,,,,,,,,,,744089.1938,,,,,,
,,,,,732935,,,,,,Baeomyces rufus,,,,"Wetmore, C.",22793,,1974,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,732891,,,,,,Pertusaria ophthalmiza,,,,"Wetmore, C.",27156,,1977,,,,,,on white birch,,,,,,,,,,,,,732891.1977,,,,,,
,,,,,732870,,,,,,Ephebe ocellata,,,,"Wetmore, C.",28144,,1977,,,,,,on sunny trickle area,,,,,,,,,,,,,732870.1977,,good,,,,
713742,MIN,Lichens,PreservedSpecimen,urn:uuid:1a587889-3c94-439c-a4c0-13d306ae7828,732323,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia caperata,(L.) Hale,Flavoparmelia,caperata,"Harris, S.",2367,6/26/1935,1935,6,26,177,,26-Jun-35,,United States,Minnesota,Anoka,Between Bethel And Fish Lake,0,,,,6/2/2016 12:52,11,urn:uuid:2213d218-a6dd-4293-bc35-266dda193889,http://bellatlas.umn.edu/collections/individual/index.php?occid=676083,732323.1935,low sample selection,not great,,,,
,,,,,732301,,,,,,Verrucaria fuscella,,,,"Brako, L.",794,,1979,,,,,,,,,,,,,,,,,,,732301.1979,,,,,,
,,,,,732277,,,,,,Verrucaria fuscella,,,,"Brako, L.",1582,,1979,,,,,,,,,,,,,,,,,,,732277.1979,,,,,,
,,,,,732264,,,,,,Verrucaria fuscella,,,,"Brako, L.",1857,,1979,,,,,,,,,,,,,,,,,,,732264.1979,,,,,,
,,,,,732093,,,,,,Strigula submuriformis,,,,"Trana, T.",10124,,1980,,,,,,on bur oak,,,,,,,,,,,,,732093.1980,,,,,,
,,,,,723608,,,,,,Ionaspis lacustris,,,,"Wetmore, C.",21862,,1973,,,,,,,,,,,,,,,,,,,723608.1973,,,,,,
,,,,,723428,,,,,,Loxospora elatina,,,,"Wetmore, C.",27175,,1977,,,,,,on jack pine,,,,,,,,,,,,,723428.1977,,,,,,
,,,,,722969,,,,,,Ionaspis lacustris,,,,"Wetmore, C.",38348,,1979,,,,,,,,,,,,,,,,,,,722969.1979,,,,,,
,,,,,722968,,,,,,Ionaspis lacustris,,,,"Wetmore, C.",38351,,1979,,,,,,,,,,,,,,,,,,,722968.1979,,,,,,
,,,,,721925,,,,,,Ephebe ocellata,,,,"Wetmore, C.",41103,,1980,,,,,,,,,,,,,,,,,,,721925.1980,,good,,,,
,,,,,721720,,,,,,Loxospora elatina,,,,"Wetmore, C.",41756,,1980,,,,,,on thuja,,,,,,,,,,,,,721720.1980,,,,,,
,,,,,721667,,,,,,Lecidea tessellata,,,,,,,1980,,,,,,,,,,,,,,,,,,,721667.1980,,,,,,
,,,,,721662,,,,,,Dimelaena oreina,,,,"Wetmore, C.",41942,,1980,,,,,,,,,,,,,,,,,,,721662.1980,,,,,,
,,,,,721661,,,,,,Lecidea tessellata,,,,"Wetmore, C.",41943,,1980,,,,,,,,,,,,,,,,,,,721661.1980,,,,,,
